실험 4 시작
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.34 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 9.11 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 8.87 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 8.73 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 8.73 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 8.87 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 9.00 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 9.13 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 9.10 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 8.99 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 8.89 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 8.79 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 8.59 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 8.45 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 8.63 m/s², 고도: 36.28 m
중력: 9.81 m/s², 총가속도: 8.74 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 8.93 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.21 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.36 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.34 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.48 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.49 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.50 m/s², 고도: 36.47 m
중력: 9.81 m/s², 총가속도: 9.59 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 9.89 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 9.93 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 10.05 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 10.20 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 10.18 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 9.92 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 36.38 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 36.38 m
