실험 0 시작
최초 고도 기록: 34.983707 m
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.89 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 8.87 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.01 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 10.03 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.01 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 8.37 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 8.84 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 10.20 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 11.54 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 10.95 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 10.30 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 10.12 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 10.21 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.97 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.97 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.96 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.24 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 8.90 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.35 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.51 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.21 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 10.03 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 10.85 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 10.90 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 10.42 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 10.19 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 10.08 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 9.69 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 10.08 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 10.68 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 11.31 m/s², 고도: 35.25 m
중력: 9.81 m/s², 총가속도: 10.82 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 10.69 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 11.40 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 10.95 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 10.83 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 10.25 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.90 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.67 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.56 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.42 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 9.23 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 8.87 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 8.50 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 8.59 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 8.80 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 9.27 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 9.17 m/s², 고도: 35.07 m
중력: 9.81 m/s², 총가속도: 9.04 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.27 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.42 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.88 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.96 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.85 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.97 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 10.05 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 10.38 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 10.41 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 10.05 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.58 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.48 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.43 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 9.90 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 10.05 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 10.10 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 9.99 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 9.67 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 35.33 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.21 m
